"last_name, first_name","player_id","year","pa","k_percent","bb_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Bellinger, Cody","641355","2024","569",15.6,7.9,".322",".305",32.9,6.3,32.9,"97.314029213","92.768351065",22.2,49.8
"Calhoun, Willie","641432","2024","254",12.2,9.1,".305",".306",30.2,3,37.7,"98.9731294","93.584500603",13.2,43.6
"Crawford, J.P.","641487","2024","451",22.6,11.5,".283",".312",30.2,6.5,37.8,"98.950282708","93.58355108",20.2,41.1
"Fraley, Jake","641584","2024","382",18.3,6.8,".314",".284",34.6,3.2,24.7,"95.677326241","91.891008399",21.3,57.9
"Garver, Mitch","641598","2024","430",30.9,12.3,".281",".287",32.5,8.4,39.7,"99.983276271","94.254381059",30.8,38.7
"Guillorme, Luis","641645","2024","187",19.3,12.3,".263",".280",32.8,2.3,21.1,"94.424899375","91.273931654",18.6,42.3
"Hampson, Garrett","641658","2024","231",25.5,6.1,".255",".251",31.6,4.4,30.4,"96.882247895","92.472205166",22.1,47.6
"Heim, Jonah","641680","2024","491",18.3,5.3,".265",".277",29.9,5.9,36.4,"98.507122973","93.44020477",20.7,54.3
"McMahon, Ryan","641857","2024","645",28.7,10.7,".315",".325",36.5,10.9,49.7,"102.62988712","96.057260524",30,46.9
"O'Neill, Tyler","641933","2024","473",33.6,11.2,".360",".342",34.6,17.3,48.8,"102.819767874","95.797605236",34.1,44.6
"Smith, Dominic","642086","2024","307",24.8,9.1,".306",".299",37.7,10.6,38.7,"98.769074141","93.729740505",25.3,45.3
"Tellez, Rowdy","642133","2024","421",21.1,7.4,".301",".302",32.4,8,36.5,"100.611958926","94.350585034",21.9,43.3
"Thaiss, Matt","642136","2024","186",31.2,15.1,".286",".292",33,8,40,"99.8347254","94.000036869",39.3,44.8
"Wade, Tyler","642180","2024","156",18.6,7.1,".242",".283",38.1,1.8,17.7,"93.385363922","90.890811782",19.7,44.1
"Siri, Jose","642350","2024","448",37.9,6.9,".271",".300",35.7,14.7,41.6,"100.732893305","94.47103983",41.6,50.9
"Rosario, Amed","642708","2024","346",21.1,2.6,".299",".281",33.5,4.6,36.2,"98.559932462","93.290414231",24.4,55.2
"Adames, Willy","642715","2024","688",25.1,10.8,".342",".344",38.2,12,40.7,"99.769639045","94.108759136",29.5,49.5
"Estrada, Thairo","642731","2024","381",19.9,2.6,".256",".264",30.3,4.8,31.7,"97.31710125","92.678487456",20.5,51.3
"Benintendi, Andrew","643217","2024","522",18.4,7.9,".298",".308",36.5,6.3,34.4,"97.17823","92.764984068",20.9,48
"Cooper, Garrett","643265","2024","116",30.2,6,".253",".326",47.2,9.7,36.1,"98.9080275","93.4931725",29.5,46.7
"Dubón, Mauricio","643289","2024","428",12.9,3.7,".286",".272",30.4,2.8,26.5,"95.977741503","92.011502977",18.8,60.1
"Jansen, Danny","643376","2024","324",18.8,12.3,".294",".292",34.1,6.4,29.7,"97.185697545","92.627349132",20.9,40.6
"Kiner-Falefa, Isiah","643396","2024","496",15.7,3.2,".299",".285",31.6,2.3,29.7,"96.695719581","92.34866123",14.8,46.1
"McNeil, Jeff","643446","2024","472",14.4,7.4,".304",".289",32.2,3.1,31.1,"96.866365393","92.484410197",17.4,55.4
"Tauchman, Mike","643565","2024","350",20,13.4,".325",".333",34.9,7.4,41,"99.141927105","93.788317412",22.5,46
"Albies, Ozzie","645277","2024","435",14.9,6.2,".307",".306",33.4,6.2,32,"97.095539467","92.617553798",20.5,56.6
"Robles, Victor","645302","2024","295",18,7.1,".357",".328",34.8,6.2,28.6,"97.345786105","92.756314603",24.2,54.7
"Herrera, Jose","645444","2024","114",23.7,7.9,".271",".251",34.6,0,23.1,"95.176804857","91.592607714",23.7,41.3
"Devers, Rafael","646240","2024","601",24.5,11.1,".364",".366",35.2,13,52.6,"104.594814974","97.088982016",30.9,50.9
"Naylor, Josh","647304","2024","633",16.6,9.2,".332",".334",30.1,8.4,40.9,"100.815360087","94.680816725",22.4,50.3
"Toro, Abraham","647351","2024","364",17,5.5,".283",".293",33.2,4.3,29.6,"97.476845145","92.798620509",17.4,48.1
"Urías, Luis","649966","2024","109",31.2,8.3,".309",".316",43.3,11.7,35,"99.362572667","93.8120925",23.1,46.9
"Arraez, Luis","650333","2024","672",4.3,3.6,".323",".326",40.9,1.6,23.7,"94.838000362","91.449624457",6.8,49.8
"Jiménez, Eloy","650391","2024","349",20.1,6.3,".276",".300",25.1,7.8,49,"103.179997795","96.165143031",26.2,50.3
"Torres, Gleyber","650402","2024","665",20.5,9.8,".313",".310",38.2,6.3,35.4,"98.295655921","93.36890443",22.9,45.7
"Castro, Willi","650489","2024","635",23.6,8,".317",".323",39,7,36.8,"98.851706502","93.501303852",28.9,51.4
"Díaz, Yandy","650490","2024","621",15.3,8.1,".331",".337",28.4,7.6,48.7,"103.441830979","96.263007825",14.2,43.9
"De La Cruz, Bryan","650559","2024","622",27.3,4.7,".283",".307",35.6,9.3,41.3,"99.848652919","94.22196445",30.1,53.4
"Rengifo, Luis","650859","2024","304",14.5,5.3,".335",".293",30.4,2.5,32.5,"96.9891535","92.548929456",22.3,56.3
"Monasterio, Andruw","655316","2024","142",28.2,11.3,".266",".293",36.5,9.4,41.2,"98.583089286","93.585745952",23.6,42.5
"Adams, Riley","656180","2024","130",26.9,7.7,".275",".284",30.1,7.2,43.4,"101.844362857","95.170948072",28.1,49.5
"Bouchard, Sean","656248","2024","108",30.6,11.1,".266",".261",29.5,4.9,34.4,"97.978837667","93.245498",33.7,43.4
"Chapman, Matt","656305","2024","647",24.4,9.9,".340",".344",31.3,12.6,48.3,"104.356012981","96.727633301",23.5,44.6
"Fairchild, Stuart","656413","2024","233",25.8,7.3,".288",".300",27.6,7.9,36.8,"98.640738472","93.363702378",34.8,50.2
"Hill, Derek","656537","2024","172",32.6,2.9,".296",".296",37.6,11,36.7,"99.292666346","93.800468365",34.8,54.2
"Hilliard, Sam","656541","2024","158",35.4,8.9,".342",".300",30.7,14.8,52.3,"103.815353902","97.006523171",40.5,46.9
"Hoskins, Rhys","656555","2024","517",28.8,10.3,".313",".305",29.7,12.7,42.2,"99.737434248","94.057895065",26.3,42.8
"Jackson, Alex","656577","2024","155",34.2,7.7,".200",".224",21.6,9.1,31.8,"97.524225","92.833252184",39.7,52.7
"Joe, Connor","656582","2024","416",21.9,10.6,".305",".279",30.9,4.7,32.7,"97.939201314","92.982890511",25.7,43.1
"McKinstry, Zach","656716","2024","325",21.2,7.4,".270",".295",37.8,4.3,32.6,"97.327044","92.860583362",22.1,47.7
"Mullins II, Cedric","656775","2024","499",19.6,8.2,".310",".293",31.7,4.9,33.4,"97.759606105","92.89369311",18.9,51.4
"O'Hearn, Ryan","656811","2024","494",14,9.3,".330",".352",35,6.9,40.1,"99.733150957","94.095787394",18.1,46.7
"Rivera, Emmanuel","656896","2024","302",22.8,8.6,".291",".319",33.7,7.9,44.1,"99.97328099","94.404966716",28.3,48.6
"Schwarber, Kyle","656941","2024","692",28.5,15.3,".366",".380",31.8,15.6,55.5,"105.154527813","97.529843438",32,39.9
"Smith, Pavin","656976","2024","158",19.6,11.4,".377",".395",34.9,14.7,44,"101.669639091","95.421898349",21.5,38.4
"Thomas, Lane","657041","2024","528",25.9,8.3,".309",".310",31.5,7.4,40.6,"100.376555353","94.3557595",23.3,43.8
"Verdugo, Alex","657077","2024","621",15,7.9,".283",".304",31.6,5.6,34.9,"98.009613263","93.0881338",15.5,44.7
"Wong, Connor","657136","2024","487",23.4,5.7,".330",".289",30.7,6.3,34.5,"98.745018171","93.452738532",28.7,51.6
"DeJong, Paul","657557","2024","482",32.4,4.8,".302",".293",36.4,10.2,41.5,"99.999893878","94.174456531",34.9,58
"Laureano, Ramón","657656","2024","309",31.1,4.9,".324",".317",38.7,12.6,40.8,"100.254641146","94.492561099",31.8,52.3
"Sheets, Gavin","657757","2024","501",21.2,8.6,".291",".312",41.1,5.7,35.3,"98.863415862","93.510571585",23,46.2
"Olivares, Edward","658668","2024","196",18.9,8.2,".276",".331",35.5,6.4,35.5,"98.508436056","93.311684681",24.2,51
"Ohtani, Shohei","660271","2024","731",22.2,11.1,".431",".448",37.8,21.5,60.1,"106.727792385","98.772122364",29.8,47.3
"Bruján, Vidal","660644","2024","278",19.4,9,".276",".262",29.7,1.5,22.6,"95.193229158","91.616436508",23.5,52
"Acuña Jr., Ronald","660670","2024","222",23.9,12.2,".322",".348",31.7,9.4,48.2,"103.064738696","96.113602174",27.5,47
"Ruiz, Keibert","660688","2024","485",11.1,3.3,".268",".280",32.2,3.2,25.6,"95.477673333","91.740685858",12.1,52.3
"Montero, Elehuris","660707","2024","247",22.7,8.1,".254",".274",27.5,7.6,41.5,"100.877618721","94.67846193",30.3,54.1
"Yepez, Juan","660766","2024","249",16.9,7.2,".331",".300",30.3,5.9,35.6,"98.208738602","93.111621613",22.1,50.1
"Sánchez, Jesús","660821","2024","537",26.1,7.6,".317",".345",31.8,12.2,51.3,"104.556000571","96.923820315",31.2,53.2
"Contreras, William","661388","2024","679",20.5,11.5,".359",".360",29,10,49.5,"103.875480043","96.642602527",27.8,47.4
"Varsho, Daulton","662139","2024","513",26.7,9.4,".304",".265",30.2,6.2,34,"98.537583503","93.276618121",27,47.6
"Perkins, Blake","663368","2024","434",24.9,9.7,".288",".282",32,3.9,37.7,"97.789208222","93.114376074",26.8,42.4
"Nootbaar, Lars","663457","2024","405",19.5,12.8,".331",".358",32.2,9.9,49.5,"102.282162353","95.717855683",19,37.2
"Nevin, Tyler","663527","2024","278",23,9,".276",".297",37,8.7,40.8,"99.059252088","93.891727514",25.6,47.3
"Hoerner, Nico","663538","2024","641",10.3,6.9,".313",".314",36,1.2,27.6,"95.980926525","91.993965849",11.6,48.4
"Riley, Austin","663586","2024","469",25.2,7.9,".338",".366",37.2,14.9,53.4,"103.77151961","96.882758664",27.5,50.1
"Larnach, Trevor","663616","2024","400",22.3,10,".336",".352",36.2,10.1,45.1,"102.375195821","95.54188573",27.9,44.1
"Mountcastle, Ryan","663624","2024","507",22.5,5.3,".316",".335",36.2,8.8,45.2,"102.105716923","95.370233104",25.1,56.1
"Hayes, Ke'Bryan","663647","2024","396",18.9,5.8,".256",".278",29.9,2.4,42.9,"99.837230137","94.135653938",18.1,44.8
"Tucker, Kyle","663656","2024","339",15.9,16.5,".419",".407",40,12.9,44.9,"100.157901947","94.740150044",19,41.8
"Cameron, Daz","663662","2024","186",27.4,7,".258",".287",36.4,8.3,48.8,"101.2654245","95.191277667",28.3,49
"India, Jonathan","663697","2024","637",19.6,12.6,".333",".354",39.3,7.7,36.5,"98.90319256","93.547150797",19.2,38.3
"Bart, Joey","663698","2024","282",25.9,7.8,".347",".333",32.6,9.4,38.7,"100.959040333","94.605861732",26.2,43.7
"Raleigh, Cal","663728","2024","628",28,11.1,".323",".347",35.6,15.4,48.1,"102.032071755","95.508789467",31,52.3
"Fortes, Nick","663743","2024","335",12.2,3.3,".252",".245",29,1.4,22.6,"95.578582782","91.819744812",13,49.3
"Grisham, Trent","663757","2024","209",27.3,10.5,".295",".312",25.6,12,46.4,"100.360050339","94.648811864",23.3,37.2
"Vierling, Matt","663837","2024","567",21.3,7.2,".317",".313",34.1,7.5,40.9,"100.235830606","94.344722247",19.5,42.8
"Gonzalez, Romy","663853","2024","216",26.9,5.6,".311",".315",29.7,8.3,51,"104.214637183","96.826247676",29.2,55.2
"Stephenson, Tyler","663886","2024","515",22.7,9.3,".339",".322",33,9.1,43.9,"100.320154503","94.587176774",22.7,43.2
"Rodgers, Brendan","663898","2024","539",24.5,5.8,".314",".297",33.1,5.6,44.1,"101.153269243","94.773964417",25.9,49.3
"Lowe, Nathaniel","663993","2024","565",22.1,12.6,".337",".329",32.6,5.8,40,"100.432822253","94.330442369",20.6,42.7
"Happ, Ian","664023","2024","657",25.6,12.2,".341",".349",37,11.7,45.2,"101.590666318","95.287992294",27.8,45.9
"France, Ty","664034","2024","535",21.3,7.1,".296",".305",30.5,7.3,40,"99.663679892","94.004650595",24.2,51.2
"Lowe, Brandon","664040","2024","425",26.4,7.8,".335",".350",39.6,12.4,44.7,"101.345776014","94.9549512",32.7,55.3
"Bader, Harrison","664056","2024","437",21.7,4.8,".285",".296",33.9,6.4,35.5,"98.685690255","93.420801022",24.5,46.6
"Moore, Dylan","664238","2024","441",27.9,12,".306",".302",38.2,8.8,36.3,"98.78016696","93.44884728",24.8,42.4
"Florial, Estevan","664314","2024","111",36.9,9.9,".277",".249",36.2,10.3,41.4,"99.259345517","93.884180351",42.2,51.1
"Isbel, Kyle","664728","2024","426",20.7,6.3,".286",".281",24.8,3.9,36.3,"99.427451293","93.787078878",19.3,46.1
"Bohm, Alec","664761","2024","606",14.2,6.6,".335",".345",35.2,6.8,45.6,"100.768220847","94.781662669",17.6,49.7
"Wade Jr., LaMonte","664774","2024","401",22.4,15.5,".337",".357",39.6,9.4,44.1,"101.160100656","95.071984568",24.2,40.9
"Mendick, Danny","664901","2024","141",24.8,4.3,".247",".254",31.6,6.1,22.4,"94.586655625","91.425542526",28.7,47.8
"Brown, Seth","664913","2024","400",28,6.3,".289",".296",35.2,8.4,40.6,"100.936577054","94.815981008",29.1,52
"McCarthy, Jake","664983","2024","495",15.8,6.3,".329",".314",30.4,2.7,24.5,"95.637290857","91.834529486",17.5,49.3
"Clemens, Kody","665019","2024","120",24.2,4.2,".301",".260",30.6,7.1,42.4,"99.387885814","93.94476",25.7,49.1
"Peña, Jeremy","665161","2024","650",17.1,3.8,".305",".313",29.2,5.4,38.8,"99.323506707","93.74168435",24.9,54.2
"Tatis Jr., Fernando","665487","2024","438",21.9,7.3,".359",".393",33.7,14.5,55.8,"104.418991126","97.109953874",28.1,51.3
"Guerrero Jr., Vladimir","665489","2024","697",13.8,10.3,".398",".410",35.1,13.7,54.9,"105.663720766","97.649346073",21.5,48
"Pache, Cristian","665506","2024","183",35,9.3,".250",".254",26.5,4.9,38.2,"99.682097","94.253817172",33,48.7
"Soto, Juan","665742","2024","713",16.7,18.1,".421",".463",35.4,19.7,57,"105.650123728","97.994705143",21.5,37.2
"Taveras, Leody","665750","2024","529",21.2,7.9,".282",".300",31.5,5.9,35.5,"99.173170874","93.650113205",26,48.8
"Amaya, Miguel","665804","2024","363",17.1,6.3,".283",".302",33.9,4.7,33.9,"99.101174286","93.708861353",22.5,54
"Cabrera, Oswaldo","665828","2024","326",19.3,6.4,".290",".285",34,3.7,34.9,"97.641570336","92.88412097",18.8,47.8
"Cruz, Oneil","665833","2024","599",30.2,8.5,".331",".342",32.1,15.7,54.9,"107.199352928","98.547881492",34.1,46.3
"Valdez, Enmanuel","665839","2024","223",23.8,7.6,".275",".309",32,9.2,41.8,"99.9120656","94.1331724",22.1,43.9
"Chisholm Jr., Jazz","665862","2024","621",24.5,8.5,".327",".318",29.6,9.7,41.1,"100.122466782","94.459141861",29.1,47.5
"Giménez, Andrés","665926","2024","633",15.3,4.1,".281",".299",32.7,2.8,28.5,"96.492499139","92.262342361",22.5,56.4
"Chaparro, Andrés","665953","2024","132",18.2,5.3,".301",".303",27.8,6.2,33,"98.318885102","93.216540722",24.8,53.7
"Aranda, Jonathan","666018","2024","143",22.4,8.4,".320",".363",34,16.5,48.5,"101.531383265","95.365481959",21.9,45.4
"Fermin, Freddy","666023","2024","368",17.9,6.3,".300",".276",29.2,3.2,33.9,"97.931397537","93.085600262",23,51
"Jones, Nolan","666134","2024","297",30.6,12.1,".287",".288",34.3,5.9,44.4,"100.556302024","94.528500893",25.6,40
"Kirilloff, Alex","666135","2024","178",26.4,8.4,".282",".311",27,11.3,40.9,"100.310300172","94.70393913",30.9,49.2
"Lowe, Josh","666139","2024","387",31.8,8.3,".299",".296",37.9,10.3,46.1,"100.893361034","94.928910905",31.8,51.6
"Fitzgerald, Tyler","666149","2024","341",31.7,6.5,".357",".295",39.1,8.2,31.9,"97.5779034","92.79850055",30.9,47.7
"Fletcher, Dominic","666150","2024","241",24.1,4.6,".227",".247",38.7,1.8,26.8,"95.808053494","91.934485697",20.9,47.2
"Hamilton, David","666152","2024","317",25.2,6.9,".305",".285",38.3,5.6,32.2,"97.714382095","92.969829904",25.3,45.9
"Lux, Gavin","666158","2024","487",22.6,9,".310",".320",35,6,41.1,"98.995997212","93.691033374",23.3,45.1
"Moniak, Mickey","666160","2024","418",27.3,5,".281",".287",31.9,9.3,34.4,"99.494460797","93.816907681",30.1,56.7
"Rortvedt, Ben","666163","2024","328",26.8,10.4,".283",".268",30.2,3.5,30.7,"96.9585767","92.49508965",26.7,43
"Adell, Jo","666176","2024","451",27.9,7.8,".296",".317",30.5,11.7,44.7,"102.6788005","95.748719749",29.8,49.7
"Benson, Will","666181","2024","388",39.7,10.3,".285",".271",36.5,11.5,40.1,"99.756805263","94.123444",38.9,47.6
"Bichette, Bo","666182","2024","336",19,6,".264",".302",31.3,4.4,43.5,"100.896776504","94.778862816",22,56.4
"Carlson, Dylan","666185","2024","265",28.3,8.3,".257",".256",30.1,2.5,25.8,"96.530139877","92.297463602",31,48.2
"Naylor, Bo","666310","2024","389",31.4,7.5,".269",".262",32.6,8.1,37.7,"98.72815","93.535266567",28.3,46.9
"Julien, Edouard","666397","2024","301",33.9,11,".278",".290",38.4,9.8,37.8,"98.889968415","93.491651402",30.9,40.6
"Encarnacion, Jerar","666464","2024","119",28.6,4.2,".301",".355",37.5,15,58.8,"105.57868275","97.868597468",28.7,48.4
"Morel, Christopher","666624","2024","611",26,10,".280",".318",27.6,10.2,40.4,"101.221222105","94.784090605",34.1,47
"García, Adolis","666969","2024","637",27.8,7.1,".296",".308",33.7,12.5,48.2,"101.827676765","95.435631691",34.3,52.1
"Gurriel Jr., Lourdes","666971","2024","553",18.3,5.2,".327",".321",33.8,6.7,40,"99.549348469","93.921850288",20,51.1
"Julks, Corey","667452","2024","189",26.5,7.9,".260",".266",33.9,3.2,29,"96.954618226","92.479937742",25.9,45.8
"Myers, Dane","667472","2024","108",33.3,7.4,".335",".322",32.8,11.5,47.5,"100.494369677","94.535582623",28.3,44
"Rooker Jr., Brent","667670","2024","614",28.8,9.6,".392",".383",38.3,16.6,49.6,"103.25238457","96.193453235",34.1,50.2
"Arozarena, Randy","668227","2024","648",26.1,11.3,".320",".327",28.4,8.3,43.5,"100.904108177","94.731331384",29.7,41
"Rogers, Jake","668670","2024","337",29.4,6.5,".264",".300",32.9,9.9,41.8,"99.180639906","93.973828585",32.7,47.6
"Bleday, JJ","668709","2024","642",19.5,10.4,".330",".319",37.1,8.3,36.2,"98.959573229","93.527316345",26.1,45.3
"Steer, Spencer","668715","2024","656",20.9,11,".316",".317",34.2,6.4,39.9,"99.163434247","93.708755492",23.1,44.5
"Reynolds, Bryan","668804","2024","692",22.5,8.2,".343",".352",37.5,9.6,45.4,"100.987209316","94.867542484",29.4,50.4
"McCann, Kyle","668832","2024","157",37.6,10.2,".304",".280",30.9,12.3,38.3,"100.534877805","94.549176173",45.2,45.9
"Martin, Austin","668885","2024","257",18.3,7.8,".297",".302",39.4,1.1,33.5,"96.642936413","92.431606902",20.9,45.5
"Vientos, Mark","668901","2024","454",29.7,7.3,".356",".335",34.6,14.1,46.6,"102.544746312","95.741575567",34.4,49.9
"Lewis, Royce","668904","2024","325",22.8,8.6,".317",".323",36.3,11.2,37.7,"99.690144144","93.856491441",27,51.9
"Turang, Brice","668930","2024","619",17,8.1,".294",".298",32,2.4,29.7,"96.869333063","92.521821874",13.7,47.7
"Rutschman, Adley","668939","2024","638",16.1,9.1,".309",".319",35.4,6.1,36.6,"98.081119454","93.149039684",17.1,44.5
"Rojas, Josh","668942","2024","476",22.7,9.7,".286",".295",35.6,5.7,38.2,"97.946263631","93.225198599",24.1,45.6
"Mitchell, Garrett","669003","2024","224",31.7,11.2,".351",".312",34.6,8.7,37,"100.952074833","94.510744",34.3,44.4
"Melendez Jr., MJ","669004","2024","451",25.1,7.8,".292",".317",29.1,8.4,45.2,"101.49620396","95.196771409",29.5,52.5
"Marsh, Brandon","669016","2024","476",32.4,10.5,".326",".328",40.7,10,47.4,"101.08883194","95.182442734",27.5,41.3
"Stowers, Kyle","669065","2024","209",35.4,6.2,".265",".292",36.1,10.9,51.3,"102.156753559","95.709246525",36.1,54.5
